Ano,Grupo,Quadrilha,Etapa,TotalEtapa
2025,GRUPO ESPECIAL,ARRAIÁ DOS MATUTOS,2ª ETAPA,208.3
2025,GRUPO ESPECIAL,ESPALHA BRASA,2ª ETAPA,208.5
2025,GRUPO ESPECIAL,COISAS DA ROÇA,2ª ETAPA,209.1
2025,GRUPO ESPECIAL,TICO TICO NO FUBÁ,2ª ETAPA,208.0
2025,GRUPO ESPECIAL,ARROXA O NÓ,3ª ETAPA,209.7
2025,GRUPO ESPECIAL,FORMIGA DA ROÇA,3ª ETAPA,209.4
2025,GRUPO ESPECIAL,RIBULIÇO,3ª ETAPA,209.6
2025,GRUPO ESPECIAL,RASGA O FOLE,3ª ETAPA,208.9
2025,GRUPO ESPECIAL,CAIPIRADA,3ª ETAPA,209.2
2025,GRUPO ESPECIAL,PINGA EM MIM,3ª ETAPA,209.4
2025,GRUPO ESPECIAL,XAMEGAR,3ª ETAPA,207.7
2025,GRUPO ESPECIAL,VAI MAS NÃO VAI,3ª ETAPA,208.6
2025,GRUPO ESPECIAL,AMOR JUNINO,3ª ETAPA,207.3
2025,GRUPO ESPECIAL,MALA VÉIA,3ª ETAPA,207.1
2025,GRUPO ESPECIAL,EITA BAGACEIRA,3ª ETAPA,207.0
2025,GRUPO ESPECIAL,ARRAIÁ DOS MATUTOS,3ª ETAPA,206.9
2025,GRUPO ESPECIAL,ESPALHA BRASA,3ª ETAPA,207.0
2025,GRUPO ESPECIAL,COISAS DA ROÇA,3ª ETAPA,206.3
2025,GRUPO ESPECIAL,TICO TICO NO FUBÁ,3ª ETAPA,206.2
